cat_level1,cat_level2,cat_level3,brand_name,company_name,company_intro,renqi,diqu
配饰,配饰,黄金珠宝,周六福,香港周六福珠宝（中国）营运中心,香港周六福珠宝国际集团有限公司于2004年在香港成立，专业从事黄金、铂金、钯金、等珠宝首饰的设计、生产、经营业务。同年，香港周六福开始在中国大陆进行“周六福”品牌珠宝首饰的运...详情>>,1.6万,广东深圳
配饰,配饰,时尚饰品,HAFACE花菲,威海韩城名饰贸易有限公司,1、品牌简述    HAFACE花菲是威海韩城名饰贸易有限公司旗下品牌，公司成立于2003年，品牌前身“汉城铭饰”始创于1995年，是国内最大的韩国饰品供应商之一，现拥有HAFACE花菲与Orhine...详情>>,1.6万,山东威海
配饰,配饰,时尚饰品,KANNN,威海韩风饰尚商业管理有限公司,KANNN极简风配饰KANNN饰品品牌，囊括了众多原创设计师，他们风格各异，擅长将具象的物体，经过抽象化的加工，再用一种艺术化的形式表现出来，用细节诠释着自己独到的设计理念。KANNN...详情>>,49,山东
配饰,配饰,黄金珠宝,ERICKSON BEAMON,,...详情>>,23,海外
配饰,配饰,黄金珠宝,六福珠宝LUKFOOK,六福集团,六福集团于一九九一年由一群资深的珠宝专才创办，并于一九九七年五月于香港联合交易所上市汇集各始创股东于珠宝业超逾三十年经验，各方面均群策群力，成绩斐然。 　　集团主要从事各...详情>>,6627,香港九龙城区
配饰,配饰,黄金珠宝,Redline,Redline创立,源自法国，始于2004年，仅以一条红绳系住一粒美钻的Redline，简约却更显纯粹。　　2014年Redline 由创办人兼首席设计师Laetitia Cohen-Skalli 创立，将神秘宗教（Kabbalah）传统中象...详情>>,38,香港
配饰,配饰,黄金珠宝,MIRROR皇宣缘,MIRROR皇宣缘国际贸易股份有限公司,引领台湾珠宝走向全球顶级珠宝殿堂的时尚精品品牌，让消费者配戴皇宣缘的翡翠、琥珀时，散发着尊贵的气息。...详情>>,28,台湾台北
配饰,配饰,黄金珠宝,ZQUEEN中妃,香港中妃珠宝国际集团有限公司,"创始于上个世纪的法国的珠宝品牌ZQUEEN,是一个普及女王风范美，推广典雅珠宝的国际品牌运营商，始终坚持秉承创始人STEVE.JOB独创的QUEEN’S BEAUTY的珠宝设计理念，跳脱了原有固定模...详情>>",26,香港
配饰,配饰,黄金珠宝,Jadegia 玉世家,Jadegia 玉世家创立,玉世家，从台湾土地深掘跃起的翡翠品牌。　　自日治时期以迄当代，近百年的光阴辗转，家族三代故事，从克绍箕裘进而品牌创新，这是一段父与子的会心传承，亦是一场由珠宝经济转化为翡...详情>>,36,台湾台北
配饰,配饰,时尚饰品,绮丽珊瑚,绮丽珊瑚有限公司,以宝石珊瑚为主的珠宝品牌，运用蕴藏于深海的神秘宝石，出一系列源自海洋的祝福。宝石珊瑚色泽丰富，由赤红，桃红，粉红至雪白均为天然宝石珊瑚的多元色 彩。古今中外，宝石珊瑚为时...详情>>,19,台湾台北
配饰,配饰,服饰配饰,SHINE LI,北京丝道通达商贸有限公司,SHINE LI 由国内帽饰设计师李姗（Shine Li）于2012年创立的同名帽饰品牌，设计风格简约、精美，却又充满趣味。 SHINE LI品牌创立最初的设计理念是期待通过富有想象力的设计细节，将轻...详情>>,488,北京朝阳区
配饰,配饰,黄金珠宝,I Do,北京恒信玺利珠宝股份有限责任公司,IDO&mdash;&mdash;专注于珍贵情感珠宝品牌IDo从诞生之初就极受瞩目，并在短时间内迅速发展成为行业内领先品牌。目前，IDo已覆盖全国大中城市，成为都市女性购买钻石的首选，...详情>>,5.2万,北京朝阳区
