cat_level1,cat_level2,cat_level3,brand_name,company_name,company_intro,renqi,diqu
家纺家饰,家纺家饰,家纺寝饰,凯莎兰家纺,杭州星凯家纺有限公司,"杭州星凯家纺有限公司是一家集研发、设计、销售为一体的家用纺织品企业，坐落于杭州北部软件园--拱墅区科技工业园,近年来，星凯公司凭借敏锐的市场洞察力，注意到了国内家用纺织品市...详情>>",2508,
家纺家饰,家纺家饰,家纺寝饰,康佳,浦江康佳工艺品有限公司,浦江康佳工艺品有限公司坐落在美丽的“书画之乡”、“家纺名城”--浦江县金垒大道187号，公司占地面积13300㎡，厂房建筑面积26000㎡，是集生产与贸易为一体的综合性公司，是生产各系...详情>>,1190,浙江其他
家纺家饰,家纺家饰,家纺寝饰,爱她@良品,北京盛泉易达经贸有限公司,来自纽约的时尚品牌love her@，她在中国被简称为爱她@良品，良品并不想引领潮流，她旨在不断的追逐潮流。 作为年轻一代的家居生活专属品牌，爱她@良品受到了消费者的支持与肯定，网点...详情>>,2784,北京
家纺家饰,家纺家饰,家纺寝饰,亚尚家纺,上海亚尚经贸发展有限公司,"“上海亚尚经贸发展有限公司”是以床上用品为核心产业,集研发、设计、生产、销售为一体。公司拥有德、意、日本等世界先进的被芯、枕芯生产流水线。产品远销美国、意大利、法国、韩国...详情>>",3093,浙江温州
家纺家饰,家纺家饰,家纺寝饰,仙合,苏州市大有家用纺织品有限公司,苏州市大有家用纺织品有限公司成立于1997年，是一家专业经营家用纺织品的企业，集研发、设计、生产、销售于一体，是国内较早涉足家用纺织品行业，并形成自己独特风格的家纺企业。目前...详情>>,2682,江苏苏州
家纺家饰,家纺家饰,家居饰品,比例家饰,北京比例家饰有限公司,“比例家饰”立足于诚信人做诚信事的经营思想，自身在发展的同时更注重承担社会责任.为了很好的为消费者提供服务，公司在经营中特别注重品质保证，包括人品！我们坚信一个没有了人品...详情>>,2302,其他无
家纺家饰,家纺家饰,家纺寝饰,佟布里尼TONIFISH,浙江佟布里尼羽绒制品有限公司,2005年8月，母公司与国内多家企业角逐“TONIFISH佟布里尼”品牌在中国的生产和运营权。经过意大利鲨鱼公司对我企业长时间的综合考察和评审，凭借母公司多年的生产管理经验和强大的经...详情>>,3306,浙江丽水
家纺家饰,家纺家饰,家纺寝饰,JOIE 家纺家饰,杭州好家园工贸有限公司,JOIE&mdash;崇尚“自然和简单生活”的家居品牌，是杭州好家园工贸有限公司旗下推出的一个全新品牌，产品大多以天然和手工制品为主，种类丰富，走进JOIE的世界，满是那些琳琅满目...详情>>,2476,浙江杭州
家纺家饰,家纺家饰,家纺寝饰,一格家饰,深圳市瑞唐商贸有限公司,最新门店：东莞常平一格家饰家居12月31日隆重开业最新门店:东莞长安天虹一格家饰12月21日盛大开幕最新门店：东莞东纵天虹一格家饰12月15日激情开幕热烈祝贺一格家饰专柜进驻深圳市宝...详情>>,4636,广东深圳
家纺家饰,家纺家饰,家居饰品,日壮家饰,上海日壮实业有限公司,日壮家饰是上海日壮实业有限公司自主品牌，成立于1999年，华丽而时尚的日壮家饰系列商品，从桌布、靠垫、坐垫延展出首饰摆件、艺术台灯、空调罩、钢琴罩以及众多精致典雅的装饰盖巾等...详情>>,7393,上海徐汇区
家纺家饰,家纺家饰,家纺寝饰,时尚桔子,广州沃琳琪时尚软家私有限公司,Orange品牌软家私，是软家私行业的时尚新星品牌，其时尚、前卫、清新的设计理念，让你享受:NEW FASHION LIFESYLE-新时尚生活体验，致力于成为软家私行业的领导品牌，致力于宣传软家私...详情>>,4986,广东广州
家纺家饰,家纺家饰,家居饰品,鱼西美屋,北京鱼西美屋家居杂货连锁有限公司,“鱼西美屋UCHOMEDECO”，为了热爱生活享受生活的人………“鱼西美屋UCHOMEDECO”为国内知名的欧洲乡村风格家居品牌，目前在全国已经拥有了14家分店。公司位于北京市朝阳区亮马桥路32...详情>>,4.5万,北京朝阳区
家纺家饰,家纺家饰,家纺寝饰,REVERT赫豹,西班牙赫豹家居中国总代理:Chamber Home Textile Trading Co. Ltd. (China),西班牙赫豹公司创立于1945年，为家用毛毯及纺织品的专业生产厂商。从此，它一直致力于提高产品品质，成为同行业的佼佼者，并获得AENOR颁发的品质证书，及根据ISO9002颁发的IQNET证书...详情>>,5373,广东广州
家纺家饰,家纺家饰,家纺寝饰,朝安东尼,古典丝织(上海)有限公司,朝安东尼 &mdash;&mdash; 一个在中国出生，在美国文化熏陶下成长的中国人，使其成为一名既精通西方文化潮流的室内设计师，又根植于东方文明的深厚底蕴。在东西方文化与历史碰...详情>>,5531,上海长宁区
家纺家饰,家纺家饰,家纺寝饰,JOYBY,南通博莱家纺有限公司,博莱中国是以国际资本为背景的中国家纺第一品牌商，目前旗下拥有的“JOYBY”“馨宜”“意绮”等著名家纺品牌，璀璨缤纷。作为一家卓越型的标杆企业，集家纺研发、家纺设计、家纺生产...详情>>,2686,江苏南通
家纺家饰,家纺家饰,家纺寝饰,品生活|INLIFE,上海品生活贸易有限公司,「品生活」家居品牌创立于2007年，创办人邓学中在中国台湾已有成功创立许多居家生活品牌达20年经验，并已开店近200家。有鉴于在中国台湾的成功品台经验，以及对家居美学独特的敏锐度...详情>>,5830,上海闸北区
家纺家饰,家纺家饰,家纺寝饰,颐美,上海美联纺织品有限公司,上海美联纺织品有限公司位于美丽的黄浦江畔，是集产品开发、形象设计、生产制造、品牌运作、品牌代理为一体时尚先锋； 公司现有自有品牌“舒美家”和代理美国品牌EMME。 目前，美联纺...详情>>,2005,上海黄浦区
家纺家饰,家纺家饰,家居饰品,PHILIPPE WALSER,法国手工家具作坊,我们是位于法国南部南锡的一个历史悠久的传统家具手工作坊。 南锡是位于法国东部的城市.一个著名的文化古城，作为二十世纪初的新艺术运动在法国的重要发展中心之一，拥有浓厚历史底蕴...详情>>,1504,海外其他
家纺家饰,家纺家饰,家纺寝饰,黄道婆黎锦,海南锦绣织贝实业有限公司,海南锦绣织贝实业有限公司以灿若云霞、独具特色的黎锦精品瞄准海内外广阔市场，力博更多黎锦爱好者、研究者、搜藏者和顾客的青睐。 　　延续三千年以上黎锦，纺、染、织、绣四大工艺...详情>>,1406,海南海口
家纺家饰,家纺家饰,十字绣,乐家家,义乌市卓彩工艺品有限公司,浙江省义乌市卓彩工艺品有限公司是一家专业从事高品质十字绣研发、设计、生产、销售为一体的专业型企业，公司主要推出“乐家家”品牌十字绣系列产品，产品均采用高品质原辅材料，确保...详情>>,2475,浙江金华
家纺家饰,家纺家饰,家纺寝饰,华欣家纺,浙江华欣家纺有限公司,浙江华欣家纺有限公司(www.huaxinhometex.com)专业生产各类高档绣花布、提花经编布、薄纱布、色丁布、服装面料以及窗帘台布、门帘、厨房帘、坐垫靠垫、床上用品、围巾等各类家纺产品...详情>>,1504,浙江绍兴
