cat1_name,cat2_name,goods_name,skc_id,sale_price,origin_price,href,style,material,length,stereotype,img_src
T恤/衬衫,短袖T恤,印花字母宽松短袖T恤,3GC3020240000,￥299,￥599,/p/3GC3020240000.shtml,黑白色调大猫与城市街景印花，大面积点缀前幅，制造强烈视觉冲击效果，格外霸气抢镜；大字母以刺绣手法勾画，以立体肌理传递更多个性摩登气息；宽松落肩版型，迎合休闲氛围，更显轻松随意之感；精选纯棉面料打造，触手柔软细腻，贴身穿着舒适亲肤；与各式裤装混搭皆可，值得入手；碰撞印花九分裤、运动鞋、斜挎小包，通身街头风造型，展现青春且cool潮人形象,面料:棉100%里布:聚酯纤维100%绣线:聚酯纤维100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3020240000/3GC3020240000_m_1.jpg
T恤/衬衫,短袖T恤,印花字母宽松短袖T恤,3GC3020240090,￥299,￥599,/p/3GC3020240090.shtml,黑白色调大猫与城市街景印花，大面积点缀前幅，制造强烈视觉冲击效果，格外霸气抢镜；大字母以刺绣手法勾画，以立体肌理传递更多个性摩登气息；宽松落肩版型，迎合休闲氛围，更显轻松随意之感；精选纯棉面料打造，触手柔软细腻，贴身穿着舒适亲肤；与各式裤装混搭皆可，值得入手；碰撞印花九分裤、运动鞋、斜挎小包，通身街头风造型，展现青春且cool潮人形象,面料:棉100%里布:聚酯纤维100%绣线:聚酯纤维100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3020240090/3GC3020240090_m_1.jpg
T恤/衬衫,短袖T恤,字母数字纯棉短袖T恤,3GC3026750000,￥249,￥499,/p/3GC3026750000.shtml,具有运动气质的数字图案在本季依然走俏，结合立体毛巾绣手法，打造出新鲜视觉效果，潮流感加分；基础合体版型，毫无累赘，定格百搭实穿；纯棉面料打造，穿着舒适亲肤；个性图案单品，不管是纯色还是印花下装皆可轻松hold住，混搭出时髦潮人气场；加入运动鞋及斜挎小包，引入街头风气息，帅气升级,面料:棉100%绣花线:腈纶/聚酯纤维/锦纶网布:聚酯纤维100%,适中,合体,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3026750000/3GC3026750000_m_1.jpg
T恤/衬衫,短袖T恤,字母数字纯棉短袖T恤,3GC3026750090,￥249,￥499,/p/3GC3026750090.shtml,具有运动气质的数字图案在本季依然走俏，结合立体毛巾绣手法，打造出新鲜视觉效果，潮流感加分；基础合体版型，毫无累赘，定格百搭实穿；纯棉面料打造，穿着舒适亲肤；个性图案单品，不管是纯色还是印花下装皆可轻松hold住，混搭出时髦潮人气场；加入运动鞋及斜挎小包，引入街头风气息，帅气升级,面料:棉100%绣花线:腈纶/聚酯纤维/锦纶网布:聚酯纤维100%,适中,合体,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3026750090/3GC3026750090_m_1.jpg
T恤/衬衫,短袖T恤,字母人像宽松短袖T恤,3GI3025310530,￥349,￥699,/p/3GI3025310530.shtml,前后幅均印上夸张字母及人像，并以抢眼红色渲染，高调彰显复古且cool街头风艺术，波普潮流腔调尽显淋漓；宽松版型，定格休闲基调，演绎随性不羁Style；本就足够抢镜，简单搭配纯色百慕大短裤、运动鞋即可个性出挑；亦可尝试与同系列短裤搭配，一身精彩印花LOOK，时髦度飙升，让你轻松于人群中脱颖而出,面料:聚酯纤维100%罗纹:聚酯纤维92.6% 棉5.3% 氨纶2.1%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GI3025310530/3GI3025310530_m_1.jpg
T恤/衬衫,短袖T恤,字母宽松圆领短袖T恤,3GI3025430090,￥249,￥499,/p/3GI3025430090.shtml,几何长方形小面积字母绣章，是本款点睛之笔，一点点装饰细节让休闲衣衫变得更个性时尚，拒绝过于单调；宽松轮廓剪裁，简洁流畅线条洋溢轻松潮流气息；面料柔软细腻，贴身穿着舒适亲肤透气；碰撞印花百慕大短裤，图案上下呼应，加入运动鞋及斜挎小包，繁简有度的穿搭，够chic够抢镜亦不过于喧嚣夸张；亦可作为内搭，与各式外套混搭皆适宜,面料:粘纤63% 锦纶32.3% 氨纶4.7%罗纹:聚酯纤维89.8% 棉5.9% 氨纶4.3%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GI3025430090/3GI3025430090_m_1.jpg
T恤/衬衫,短袖T恤,纯棉拼接宽松短袖T恤,3GC3021230090,￥249,￥499,/p/3GC3021230090.shtml,本款一大特色在于解构主义的运用，以同材质同颜色解构重组构筑廓形，低调却不乏现代摩登气息；玩味廓形艺术，落肩oversize轮廓设计，结合中长款长度，带来轻松时髦气息，范儿升级；纯棉面料打造，柔韧有自然光泽感，穿着舒适亲肤；百搭又时尚，与各式裤装皆可轻松混搭，值得入手；配以百慕大短裤、运动鞋、斜挎小包，瞬间营造青春的动感活力,面料:棉100%,中长,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3021230090/3GC3021230090_m_1.jpg
T恤/衬衫,短袖T恤,字母天使翅膀短袖T恤,3GC3022630090,￥199,￥399,/p/3GC3022630090.shtml,一件拥有别致图案的T恤，可轻松助你在人群中脱颖而出，值得推荐；天使之翼和Slogan“Super Great”装点前幅，个性又显时髦；合体圆领恤衫，基础廓形设计，毫无累赘，尤显百搭实穿；精选优质面料，穿着舒适自在；出挑图案单品，与各式下装混搭皆可，内外穿皆适宜；与束脚九分裤、运动鞋搭配，构筑活力潮帅LOOK，减龄效果显著,面料:粘纤63% 锦纶32.3% 氨纶4.7%罗纹:聚酯纤维96.8% 氨纶3.2%,适中,合体,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3022630090/3GC3022630090_m_1.jpg
T恤/衬衫,短袖T恤,字母印花撞色短袖t恤,3GC3022640000,￥199,￥399,/p/3GC3022640000.shtml,手写体大字母占据前幅，带出轻松随性味道，奠定休闲摩登基调；基础圆领套头廓形，线条设计毫无累赘，定格经典百搭；精选天丝面料打造，手感柔软有弹性，贴身穿着舒适自在；字母恤衫，不管单穿还是内搭皆出彩，为衣橱常备单品；配以百慕大短裤或束脚九分裤，加入运动鞋及斜挎小包，通身活力时尚造型，倍显帅气吸睛,面料:粘纤63.0% 锦纶32.3% 氨纶4.7%,适中,合体,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3022640000/3GC3022640000_m_1.jpg
T恤/衬衫,短袖T恤,印花宽松棉质短袖T恤,3GI3025010000,￥249,￥499,/p/3GI3025010000.shtml,前幅雪纺绉纱拼接，轻盈飘逸，丰富衣衫层次感；格纹×花卉，让本季印花混搭出新鲜趣味，瞬间占据视线；略显Oversize廓形，结合落肩设计，注入轻松休闲味道，范儿升级；充满亮点单品，与简约风下装相当速配；混搭牛仔九分裤、运动鞋，简单搭配即可穿出时髦的姿态,面料:棉100%撞料:聚酯纤维100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GI3025010000/3GI3025010000_m_1.jpg
