category,goods_id,goods_name,color,sale_price,origin_price,design,material,stereotype,length
毛织,1JY1031580090,露背系带修身针织衫,白色,￥215 ,￥539 ,简约修身版型；摩登露背+缎带系绳设计；精选柔韧弹力针织材质,别具优雅设计感，只需气质半裙，利落又不失迷人俏丽气息,修身,适中
毛织,1JJ1037030010,一字领修身套头针织衫,米白,￥175 ,￥439 ,百搭修身款型；优雅一字领；胸前交叉拼带；精选包芯纱针织面料,搭配牛仔半裙，棒球帽与小白鞋点缀，尽显青春活力，俏丽感十足,修身,适中
毛织,1JY1032650018,撞条纹短袖针织衫,白色,￥227 ,￥569 ,简约修身版型；撞色条纹图案；精选弹力混纺针织面料,混搭摩登牛仔，亮眼休闲穿搭格外亮眼，尽展时髦欧美范儿,修身,适中
毛织,1JY1032650600,撞条纹短袖针织衫,白色,￥227 ,￥569 ,简约修身版型；撞色条纹图案；精选弹力混纺针织面料,混搭摩登牛仔，亮眼休闲穿搭格外亮眼，尽展时髦欧美范儿,修身,适中
毛织,1JY1037060600,撞色薄短袖针织衫,蓝色,￥239 ,￥599 ,合体轻薄款式；率性翻领设计；别致撞色衣边；融入时尚金线材质,配以纯色阔腿裤、板鞋，撞色搭配十分吸睛，尽显摩登时尚感,合体,适中
毛织,1JJ1031300010,长袖薄打底针织衫,米白,￥147 ,￥369 ,简约圆领设计；透视薄款打底衫；添加金银线弹力混纺材质,简约百搭单品，无论单穿或与搭配小背心，时髦又自信，更俏丽亮眼,宽松,适中
毛织,1JJ1031300090,长袖薄打底套头针织衫,米白,￥147 ,￥369 ,简约圆领设计；透视薄款打底衫；添加金银线弹力混纺材质,加入浅色调下装，深浅碰撞尽展时髦率性魅力，都会亮眼,宽松,适中
毛织,1JJ1031300133,长袖薄打底套头针织衫,米白,￥147 ,￥369 ,简约圆领设计；透视薄款打底衫；添加金银线弹力混纺材质,配搭半裙和跟鞋，简约穿搭轻松演绎俏丽都会印象，尽展百搭魅力,宽松,适中
毛织,1JY1030580090,撞色拼接套头毛衣,黑色,￥187 ,￥469 ,简约修身版型；亮眼撞色拼接；稍薄上幅设计；精选羊毛混纺面料,以裙装色调为搭配灵感，加入针织上衣，时髦又不失俏丽淑雅感,修身,适中
毛织,1JY1030690010,连帽抽绳套头毛衣,米白,￥255 ,￥639 ,纯色修身款式；连帽+抽绳设计；微喇叭袖口；精选羊毛混纺面料,与牛仔裙或阔腿短裤搭配皆宜，俏丽或端庄，演绎不同潮流感,修身,适中
毛织,1JY1030690090,连帽长袖套头毛衣,米白,￥255 ,￥639 ,纯色修身款式；连帽+抽绳设计；微喇叭袖口；精选羊毛混纺面料,加入修身裤装、简约跟鞋，大方利落，展现别样时尚风采,修身,适中
毛织,1JY1030690304,连帽抽绳修身套头毛衣,米白,￥255 ,￥639 ,纯色修身款式；连帽+抽绳设计；微喇叭袖口；精选羊毛混纺面料,搭配纯色长裤与懒人鞋，鸭舌帽点缀，散发街头潮流气息,修身,适中
毛织,1JY1035300090,一字透视长袖毛衣,黑色,￥175 ,￥439 ,修身打底款型；优雅一字领剪裁；胸上透视设计；优选含羊毛面料,加入白色系半裙、简约鞋包，经典黑白配色演绎都市丽人印象,修身,适中
毛织,1JY1035390950,撞条纹长袖针织衫,彩条,￥279 ,￥699 ,套头修身版型；显瘦V领设计；波普撞色彩条；精选弹力针织料,配以修身牛仔裤，波普穿搭格外惹人注目，尽展时髦俏皮，减龄吸睛,修身,适中
毛织,1JY1033350180,刺绣花朵套头针织衫,粉红,￥175 ,￥439 ,气质刺绣花朵图案；简约合体版型；精选柔韧针织面料,加入牛仔长裤与简约鞋包，随性搭配展现轻松大方特质,合体,适中
毛织,1JY1035270010,V领喇叭袖薄毛衣,米白,￥239 ,￥599 ,纯色修身款式；气质V领+横带设计；开叉喇叭袖；优选舒适羊毛混纺,选择亮色半裙搭配，时尚鞋包点缀造型，深浅配色更加吸睛亮眼,修身,适中
毛织,1JY1035270090,喇叭袖薄针织毛衣,米白,￥239 ,￥599 ,纯色修身款式；气质V领+横带设计；开叉喇叭袖；优选舒适羊毛混纺,搭配A字半身裙、手提包，凸显端庄干练感，优雅时尚,修身,适中
毛织,1JJ1031320090,纯色修身长袖套头毛衣,黑色,￥369 ,￥369 ,套头修身版型；纯色无繁复设计；喇叭开叉袖口；柔韧含羊毛材质,无论作时髦内搭或气质上装，摩登穿搭更展简约百搭魅力，俏丽亮眼,修身,适中
毛织,1JJ1036010090,V领长袖针织衫,米白,￥339 ,￥339 ,显瘦V领设计；套头修身版型；大气纯色款式；精选弹力丝光棉,简约百搭单品，与图案下装配搭或作气质内搭，格外摩登俏丽,修身,适中
毛织,1JJ1031310090,条纹喇叭袖针织衫,黑色,￥175 ,￥439 ,圆领套头款式；摩登撞色横条纹；开叉喇叭袖设计；精选丝光棉材质,加入亮眼阔腿裤，时髦率性印象轻松打造，俏丽又摩登,合体,适中
毛织,1JJ1036010010,V领打底衫针织衫,米白,￥139 ,￥339 ,显瘦V领设计；套头修身版型；大气纯色款式；精选弹力丝光棉,配以牛仔半裙，简约风穿搭率性又不失时髦感，俏丽迷人,修身,适中
毛织,1JJ1036010120,V领修身长袖针织衫,米白,￥139 ,￥339 ,显瘦V领设计；套头修身版型；大气纯色款式；精选弹力丝光棉,与时髦牛仔裤轻松穿搭，提升摩登chic感，配搭出俏丽迷人气息,修身,适中
毛织,1JJ1036010160,V领修身长袖针织衫,米白,￥139 ,￥339 ,显瘦V领设计；套头修身版型；大气纯色款式；精选弹力丝光棉,加入浅色调下装，轻柔配色更显时髦青春感，尽展俏丽都会魅力,修身,适中
毛织,1JY1030610090,绑带撞色条纹毛衣,黑色,￥267 ,￥669 ,V领拼接系带；撞色横条纹图案；套头合体版型；精选柔韧羊毛混纺,搭配浅色下装和优雅跟鞋，知性又不失时髦感，散发都会迷人气息,合体,适中
毛织,1JY1035290010,镂空拼接针织衫,米白,￥215 ,￥539 ,套头合体版型；显瘦V领设计；拼接镂空层次；精选羊毛+马海毛混纺,加入打底背心，露肩穿搭与不羁牛仔相得益彰，尽展率性魅力,合体,适中
毛织,1JY1035920010,字母喇叭袖毛衣,米白,￥179 ,￥599 ,落肩宽松版型；时髦宽袖设计；字母色织图案；精选羊毛马海毛混纺,加入修身下装，松紧互衬穿搭，更显修长身材比例，尽展欧美时尚范,宽松,适中
毛织,1JY1035920120,字母喇叭袖毛衣,米白,￥179 ,￥599 ,落肩宽松版型；时髦宽袖设计；字母色织图案；精选羊毛马海毛混纺,加入修身下装，松紧互衬穿搭，更显修长身材比例，尽展欧美时尚范,宽松,适中
毛织,1HY4032590090,时尚刺绣毛织套头衫,黑色,￥499 ,￥499 ,时尚简约,舒适宽松版型；经典圆领设计；刺绣字母点缀；精选含兔毛材质,宽松,适中
毛织,1HH4030670510,V领刺绣喇叭袖毛衣,黑色,￥199 ,￥799 ,摩登都会,显瘦V领设计；摩登喇叭袖；飞鸟刺绣点缀；精选弹力含羊毛面料,宽松,适中
毛织,1HH4030260090,修身镂空薄套头打底衫,黑色,￥149 ,￥499 ,摩登优雅,修身打底款式；优雅高领设计；领边前后花纹镂空；柔韧含羊毛面料,修身,适中
